id,nama,kategori,zona,strategi,claim_rating,claim_reviews,actual_rating,actual_reviews,kota_maps,alamat_maps,verdict,flags
1,Waroeng Spesial Sambal SS Bandung JL Sukabumi,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.2,3215,4.2,,Bandung,"Jl. Sukabumi No.5, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",WRONG_CITY,ZONE_FALLBACK|WRONG_CITY_BANDUNG
2,Secret Garden Sukabumi,F&B,Zona 3 (Pusat Selatan),UNDER_5,4.4,2621,4.4,144,Sukabumi Kota,"Jl. Surya Kencana No.07, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,REVIEW_CLAIM_2621_AKTUAL_144
3,Like Earth Coffee,F&B,Zona 4 (Jantung Kota),UNDER_5,4.4,1845,4.4,2380,Sukabumi Kota,"Jl. Syamsudin. SH No.20-10, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",OK,
4,Kedai Kopi Ncek Joe Tie 1953,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.4,412,4.4,577,Sukabumi Kota,"Jl. A. Yani No.77, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",OK,ZONE_FALLBACK
5,D'Green Resto and Coffee,F&B,Zona 4 (Jantung Kota),UNDER_5,4.5,1105,4.5,1878,Sukabumi Kota,"Jl. Selabintana No.54, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,REVIEW_CLAIM_1105_AKTUAL_1878
6,Butler Bar & Bistro,F&B,Zona 4 (Jantung Kota),UNDER_5,4.5,890,4.5,1442,Sukabumi Kota,"Jl. Siliwangi No.111, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_890_AKTUAL_1442
7,Kedai Kopi 35,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.5,540,4.5,417,Sukabumi Kota,"Jl. Surya Kencana No.101, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",OK,ZONE_FALLBACK
8,Restaurant Sunda Rasa Sukabumi,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.6,2100,4.6,1048,Sukabumi Kota,"Jl. Siliwangi No.68, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_2100_AKTUAL_1048
9,Botram Resto,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.6,1250,4.6,727,Sukabumi Kota,"Jl. Surya Kencana No.29, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",OK,ZONE_FALLBACK
10,PURIMAS 3 CAKE & BAKERY KOTA SUKABUMI,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.6,955,4.6,856,Sukabumi Kota,"Jl. R. E. Martadinata No.46, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",OK,ZONE_FALLBACK
11,Red Brick Cafe,F&B,Zona 4 (Jantung Kota),UNDER_5,4.7,1430,4.7,2140,Sukabumi Kota,"Jl. Pelabuhan II No.271, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",OK,
12,Maple Bakery,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.7,670,4.7,618,Sukabumi Kota,"Jl. Gudang No.1, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112",OK,ZONE_FALLBACK
13,Dedi Catering Sukabumi,F&B,Zona 1 (Baros/Jalur),UNDER_5,4.8,215,4.8,95,Sukabumi Kota,"Gg. Murni No.25, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_215_AKTUAL_95
14,Kopi Nako Sukabumi,F&B,Zona 4 (Jantung Kota),HIGH_LOW_REV,4.9,185,4.9,3747,Sukabumi Kota,"Jl. Mayor Mahmud, Sukajaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,STRATEGY_MISMATCH|REVIEW_CLAIM_185_AKTUAL_3747
15,Yume Coffee,F&B,Zona 4 (Jantung Kota),HIGH_LOW_REV,4.8,142,4.8,425,Sukabumi Kota,"Jl. Surya Kencana No.31, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,STRATEGY_MISMATCH|REVIEW_CLAIM_142_AKTUAL_425
16,Amorcakes & Bakery Sudirman - Sukabumi,F&B,Zona 3 (Pusat Selatan),HIGH_LOW_REV,4.9,98,4.9,1904,Sukabumi Kota,"Jl. Sudirman No.36, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 431219",REVIEW_OFF,STRATEGY_MISMATCH|REVIEW_CLAIM_98_AKTUAL_1904
17,Bandung Cheesecuit Sukabumi,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,4.9,115,4.9,186,Sukabumi Kota,"Jl. Siliwangi No.A10, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,STRATEGY_MISMATCH|ZONE_FALLBACK|REVIEW_CLAIM_115_AKTUAL_186
18,Takashi Bakehouse x Republik Burger Sukabumi,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,4.9,76,4.9,123,Sukabumi Kota,"Jl. Syamsudin. SH No.31, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,STRATEGY_MISMATCH|ZONE_FALLBACK|REVIEW_CLAIM_76_AKTUAL_123
19,Catering & Snack Sarah 009 Dra. N. Rohanah,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,4.9,45,4.9,27,Sukabumi Kota,"Jl. Pelabuhan II Gg. Murni No.18, RT 03/01, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43133",OK,STRATEGY_MISMATCH|ZONE_FALLBACK
20,Sukabumi Coffee Center,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,22,5,176,Sukabumi Kota,"Jl. Mayawati Cafitol Plaza No.76 Lt. 1, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_22_AKTUAL_176
21,Catering Murah Sukabumi,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,18,4.8,95,Lainnya/Tidak jelas,Indonesia · Gg. Murni No.25,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|RATING_CLAIM_5_AKTUAL_4.8|REVIEW_CLAIM_18_AKTUAL_95|GENERIC_QUERY_RESULT
22,INI KITCHEN SUKABUMI,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,34,5,1,Sukabumi Kota,"Jl. Brawijaya No.527, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_34_AKTUAL_1
23,PAKIS Catering Sukabumi,F&B,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,12,5,15,Sukabumi Kab,"Jl. Pasar Baru, Cisaat, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152",OK,ZONE_FALLBACK
24,Pinisi Relaxation,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.4,750,4.4,286,Sukabumi Kota,"Jl. Kenari No.14, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_750_AKTUAL_286
25,Rudi Salon Sukabumi,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.5,420,4.5,197,Sukabumi Kota,"Rukan Surya kencana 3, Jl. Surya Kencana No.38, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_420_AKTUAL_197
26,Sara ivonne Beauty Studio Sukabumi,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.6,315,4.7,144,Sukabumi Kota,"Komplek Ruko Bounty, Jl. Siliwangi No.90, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_315_AKTUAL_144
27,KAYN Wellness,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.6,280,4.6,11,Sukabumi Kota,"Jl. Pajagalan, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_280_AKTUAL_11
28,Dr Metz Skincare,Beauty,Zona 4 (Jantung Kota),UNDER_5,4.8,890,4.8,419,Lainnya/Tidak jelas,Klinik Perawatan Kulit ·  · Jl. Bhayangkara No.24,LOW_CONFIDENCE_MATCH,REVIEW_CLAIM_890_AKTUAL_419|GENERIC_QUERY_RESULT
29,Avenue Salon Sukabumi,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,210,4.9,65,Sukabumi Kab,"Jl. Selabintana Kp Panjalu No.KM 3 5, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_210_AKTUAL_65
30,ADJIE SALON,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,205,4.9,300,Sukabumi Kota,"Jalan Ruko Jl. Brawijaya No.7, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",OK,ZONE_FALLBACK
31,Pixel Barbershop Nyomplong,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,340,5,789,Sukabumi Kota,"Jalan Lettu Bakri No 4, Nyomplong, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,REVIEW_CLAIM_340_AKTUAL_789
32,BARBERSTATION BARBERSHOP,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,415,4.9,197,Sukabumi Kota,"Jl. Siliwangi No.44, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_415_AKTUAL_197
33,Simi Reflexology Massage & Spa,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,520,4.9,2182,Sukabumi Kota,"Jl. Surya Kencana No.66, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_520_AKTUAL_2182
34,Nadifa Clinic Sukabumi,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,255,4.9,88,Sukabumi Kota,"Jalan R. A. Kosasih No. 78, Sukaraja, Cisarua, Kec. Cikole, Kota Sukabumi, Cisarua, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43115",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_255_AKTUAL_88
35,Calysta skin care clinic,Beauty,Zona 1 (Baros/Jalur),UNDER_5,4.9,310,4.9,147,Sukabumi Kota,"Jl. Rumah Sakit No.6 A, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_310_AKTUAL_147
36,ARSENIO SALON,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,145,5,223,Sukabumi Kota,"3WFM+J95, Jl. Otto Iskandardinata, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43141",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_145_AKTUAL_223
37,Pixel Barbershop Cipanengah,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,112,5,1320,Lainnya/Tidak jelas,Tempat Cukur Rambut · Jl. Pelabuhan II,LOW_CONFIDENCE_MATCH,REVIEW_CLAIM_112_AKTUAL_1320|GENERIC_QUERY_RESULT
38,Blackburn Barbershop - Sukabumi Branch,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,89,5,2764,Sukabumi Kota,"Jl. A. Yani No.58, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_89_AKTUAL_2764
39,Pixel Barbershop Ciaul,Beauty,Zona 4 (Jantung Kota),HIGH_LOW_REV,5,175,5,3672,Sukabumi Kota,"Jl. R.A. Kosasih No.278, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",REVIEW_OFF,REVIEW_CLAIM_175_AKTUAL_3672
40,SERENITY SPA,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,54,5,28,Sukabumi Kota,"Jl. Bhayangkara No.204, Selabatu, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",OK,ZONE_FALLBACK
41,Aida Spa & Massage,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,38,5,1,Sukabumi Kota,"Dekat Sweet escape, Jl. Caringin Ngumbang No.RT 002/001, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_38_AKTUAL_1
42,Natasha Skin Clinic Sukabumi,Beauty,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,190,5,938,Sukabumi Kota,"Jl. Suryakencana No.52 Ruko A-B, RT.07/RW.07, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_190_AKTUAL_938
43,Ella Skincare Sukabumi,Beauty,Zona 4 (Jantung Kota),HIGH_LOW_REV,5,165,5,493,Sukabumi Kota,"Jl. Siliwangi No.77, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_165_AKTUAL_493
44,Hoki Motor sukabumi,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.3,840,4.3,106,Sukabumi Kota,"Jl. Otto Iskandardinata No.9, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_840_AKTUAL_106
45,Cuci Steam Mobil & Motor 24 jam,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.3,325,4.3,711,Lainnya/Tidak jelas,Tempat Pencucian Mobil · Jl. Pelabuhan II Jl. Begeg,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_325_AKTUAL_711|GENERIC_QUERY_RESULT
46,Baros Jaya Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.4,410,4.4,388,Sukabumi Kota,"Jl. Otto Iskandardinata No.107, Nanggeleng, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",OK,
47,Inti Prima Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.4,530,4.4,167,Sukabumi Kota,"Jl. Sudirman No.43, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_530_AKTUAL_167
48,lulu motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.4,215,4.4,77,Sukabumi Kota,"2WJW+WHR, Baros, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_215_AKTUAL_77
49,Jaya Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.4,380,4.4,89,Sukabumi Kota,"Jl. Pelabuhan II No.52, RT./RW/RW.003/008, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_380_AKTUAL_89
50,Rey Motor Sukabumi,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.4,290,4.4,34,Sukabumi Kota,"Jl. Pelabuhan II No.218, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_290_AKTUAL_34
51,Hars Motor,Automotive,Zona 1 (Baros/Jalur),UNDER_5,4.5,460,4.5,364,Sukabumi Kota,"Jl. Otto Iskandardinata, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",OK,ZONE_FALLBACK
