id,nama,kategori,zona,strategi,telepon,tipe,rating,reviews,maps_url
1,"Ayam Goreng SS Super Sambal Sukabumi","F&B","Zona 4 (Jantung Kota)","HIGH_LOW_REV",082323717118,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=Ayam%20Goreng%20SS%20Super%20Sambal%20Sukabumi"
2,"Secret Garden Sukabumi","F&B","Zona 4 (Jantung Kota)","UNDER_5",087731991935,mobile,4.4,144,"https://www.google.com/maps/search/?api=1&query=Secret%20Garden%20Sukabumi"
3,"Like Earth Coffee","F&B","Zona 4 (Jantung Kota)","UNDER_5",081299800096,mobile,4.4,2380,"https://www.google.com/maps/search/?api=1&query=Like%20Earth%20Coffee%20Sukabumi"
4,"Kedai Kopi Ncek Joe Tie 1953","F&B","Zona 4 (Jantung Kota)","UNDER_5",,,4.4,577,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20Ncek%20Joe%20Tie%201953%20Sukabumi"
5,"D'Green Resto and Coffee","F&B","Zona 5 (Timur/Utara)","UNDER_5",02666250889,landline,4.5,1878,"https://www.google.com/maps/search/?api=1&query=D'Green%20Resto%20and%20Coffee%20Sukabumi"
6,"Butler Bar & Bistro","F&B","Zona 4 (Jantung Kota)","UNDER_5",02666243639,landline,4.5,1442,"https://www.google.com/maps/search/?api=1&query=Butler%20Bar%20%26%20Bistro%20Sukabumi"
7,"Kedai Kopi 35","F&B","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,417,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%2035%20Sukabumi"
8,"Restaurant Sunda Rasa Sukabumi","F&B","Zona 4 (Jantung Kota)","UNDER_5",0266213059,landline,4.6,1048,"https://www.google.com/maps/search/?api=1&query=Restaurant%20Sunda%20Rasa%20Sukabumi"
9,"Botram Resto","F&B","Zona 4 (Jantung Kota)","UNDER_5",02666257125,landline,4.6,727,"https://www.google.com/maps/search/?api=1&query=Botram%20Resto%20Sukabumi"
10,"PURIMAS 3 CAKE & BAKERY KOTA SUKABUMI","F&B","Zona 4 (Jantung Kota)","UNDER_5",0266221562,landline,4.6,856,"https://www.google.com/maps/search/?api=1&query=PURIMAS%203%20CAKE%20%26%20BAKERY%20KOTA%20SUKABUMI"
11,"Red Brick Cafe","F&B","Zona 1 (Baros/Jalur)","UNDER_5",08562259312,mobile,4.7,2140,"https://www.google.com/maps/search/?api=1&query=Red%20Brick%20Cafe%20Sukabumi"
12,"Maple Bakery","F&B","Zona 4 (Jantung Kota)","UNDER_5",087886837974,mobile,4.7,618,"https://www.google.com/maps/search/?api=1&query=Maple%20Bakery%20Sukabumi"
13,"Dedi Catering Sukabumi","F&B","Zona 1 (Baros/Jalur)","UNDER_5",085317323921,mobile,4.8,95,"https://www.google.com/maps/search/?api=1&query=Dedi%20Catering%20Sukabumi"
14,"Kopi Nako Sukabumi","F&B","Zona 4 (Jantung Kota)","UNDER_5",085218454121,mobile,4.9,3747,"https://www.google.com/maps/search/?api=1&query=Kopi%20Nako%20Sukabumi"
15,"Yume Coffee","F&B","Zona 4 (Jantung Kota)","UNDER_5",085162753737,mobile,4.8,425,"https://www.google.com/maps/search/?api=1&query=Yume%20Coffee%20Sukabumi"
16,"Amorcakes & Bakery Sudirman - Sukabumi","F&B","Zona 3 (Pusat Selatan)","UNDER_5",,,4.9,1904,"https://www.google.com/maps/search/?api=1&query=Amorcakes%20%26%20Bakery%20Sudirman%20-%20Sukabumi"
17,"Bandung Cheesecuit Sukabumi","F&B","Zona 4 (Jantung Kota)","UNDER_5",085138079841,mobile,4.9,186,"https://www.google.com/maps/search/?api=1&query=Bandung%20Cheesecuit%20Sukabumi"
18,"Takashi Bakehouse x Republik Burger Sukabumi","F&B","Zona 4 (Jantung Kota)","UNDER_5",08998252744,mobile,4.9,123,"https://www.google.com/maps/search/?api=1&query=Takashi%20Bakehouse%20x%20Republik%20Burger%20Sukabumi"
19,"Catering & Snack Sarah 009 Dra. N. Rohanah","F&B","Zona 1 (Baros/Jalur)","UNDER_5",085659480505,mobile,4.9,27,"https://www.google.com/maps/search/?api=1&query=Catering%20%26%20Snack%20Sarah%20009%20Sukabumi"
20,"Sukabumi Coffee Center","F&B","Zona 4 (Jantung Kota)","HIGH_LOW_REV",0895607037200,mobile,5,176,"https://www.google.com/maps/search/?api=1&query=Sukabumi%20Coffee%20Center"
21,"Catering Murah Sukabumi","F&B","Zona 4 (Jantung Kota)","HIGH_LOW_REV",085317323921,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=Catering%20Murah%20Sukabumi"
22,"INI KITCHEN SUKABUMI","F&B","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",081211113410,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=INI%20KITCHEN%20SUKABUMI"
23,"PAKIS Catering Sukabumi","F&B","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",089648129378,mobile,5,15,"https://www.google.com/maps/search/?api=1&query=PAKIS%20Catering%20Sukabumi"
24,"Pinisi Relaxation","Beauty","Zona 4 (Jantung Kota)","UNDER_5",085723988876,mobile,4.4,286,"https://www.google.com/maps/search/?api=1&query=Pinisi%20Relaxation%20Sukabumi"
25,"Rudi Salon Sukabumi","Beauty","Zona 4 (Jantung Kota)","UNDER_5",089636398894,mobile,4.5,197,"https://www.google.com/maps/search/?api=1&query=Rudi%20Salon%20Sukabumi"
26,"Sara ivonne Beauty Studio Sukabumi","Beauty","Zona 4 (Jantung Kota)","UNDER_5",08992213980,mobile,4.7,144,"https://www.google.com/maps/search/?api=1&query=Sara%20ivonne%20Beauty%20Studio%20Sukabumi"
27,"KAYN Wellness","Beauty","Zona 1 (Baros/Jalur)","UNDER_5",0881011374685,mobile,4.6,11,"https://www.google.com/maps/search/?api=1&query=KAYN%20Wellness%20Sukabumi"
28,"Dr Metz Skincare","Beauty","Zona 3 (Pusat Selatan)","UNDER_5",089620001112,mobile,4.8,419,"https://www.google.com/maps/search/?api=1&query=Dr%20Metz%20Skincare%20Sukabumi"
29,"Avenue Salon Sukabumi","Beauty","Zona 5 (Timur/Utara)","UNDER_5",085210512015,mobile,4.9,65,"https://www.google.com/maps/search/?api=1&query=Avenue%20Salon%20Sukabumi"
30,"ADJIE SALON","Beauty","Zona 3 (Pusat Selatan)","UNDER_5",081564700608,mobile,4.9,300,"https://www.google.com/maps/search/?api=1&query=ADJIE%20SALON%20Sukabumi"
31,"Pixel Barbershop Nyomplong","Beauty","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085188339937,mobile,5,789,"https://www.google.com/maps/search/?api=1&query=Pixel%20Barbershop%20Nyomplong%20Sukabumi"
32,"BARBERSTATION BARBERSHOP","Beauty","Zona 4 (Jantung Kota)","UNDER_5",,,4.9,197,"https://www.google.com/maps/search/?api=1&query=BARBERSTATION%20BARBERSHOP%20Sukabumi"
33,"Simi Reflexology Massage & Spa","Beauty","Zona 4 (Jantung Kota)","UNDER_5",0266226899,landline,4.9,2182,"https://www.google.com/maps/search/?api=1&query=Simi%20Reflexology%20Massage%20%26%20Spa%20Sukabumi"
